gene_ids,Malignant,MG/Mp,ILC/gdT,CD4,Oligodendrocytes,Treg,CD8,DC,etc.,Neutrophils
ENSG00000171621,0.047611993,0.041599624,0.012312031,0.031001987,0.13752234,0.07646237,0.01727641,0.020455122,0.02501734,0.041695483
ENSG00000284652,0.8684014,0.0470435,0.38505945,0.24214002,0.15579614,0.76044655,0.43589166,0.7462136,0.4257269,0.40606856
ENSG00000284693,0.011715917,0.0025110173,0.0055192537,0.0019441518,0.02066639,0.03703043,0.0043962887,0.021913616,0.020679384,0.013222231
ENSG00000171612,0.08475727,0.10171797,0.061448455,0.045169234,0.10779858,0.024378449,0.032693557,0.13065311,0.031701867,0.03307477
ENSG00000188807,0.013490942,0.0068931477,0.0049212943,0.0070696515,0.022896051,0.016129773,0.007095906,0.02931773,0.011988883,0.009153489
ENSG00000171608,0.0065623196,0.070642576,0.13343774,0.094684325,0.0040914793,0.103077024,0.11956228,0.2110729,0.062343497,0.13872372
ENSG00000179840,0.42328918,0.019141162,0.49107215,0.15057527,0.050689723,0.3816445,0.22080979,0.37561616,0.48100668,0.5112237
ENSG00000231789,0.017633324,0.0016418393,0.024258045,0.0052107815,0.0016109649,0.2677469,0.008806609,0.13948274,0.08169567,0.043398924
ENSG00000171603,0.32467046,0.10831847,0.057875767,0.061305232,0.27275237,0.08878717,0.10059889,0.1775518,0.043957464,0.04355642
ENSG00000178585,0.11714338,0.009627005,0.022695962,0.008940984,0.08474806,0.03986416,0.019669639,0.033056237,0.027761845,0.04107157
ENSG00000162441,0.27352634,0.098461814,0.06313446,0.08352848,0.3267843,0.058535196,0.10049284,0.071100935,0.03048058,0.28462857
ENSG00000173614,0.0718085,0.033126924,0.013957866,0.008090417,0.038244106,0.020768927,0.0063735377,0.13253011,0.013291734,0.0439602
ENSG00000162444,0.022386655,0.020907933,0.006979991,0.0017485908,0.4847862,0.021368718,0.041999955,0.039311767,0.02286801,1.0777676
ENSG00000130939,0.15370665,0.061324604,0.09921593,0.05307935,0.42338595,0.11060956,0.071563095,0.2852936,0.04545949,0.08512228
ENSG00000054523,0.97640944,0.2114468,0.07587178,0.07700484,1.7740018,0.11215907,0.028684683,0.15990284,0.101185724,0.41707247
ENSG00000284735,0.0072313696,0.0021087865,0.008073092,0.002771074,0.009768836,0.02634913,0.0065057115,0.028932711,0.015431996,0.019431468
ENSG00000284642,0.016778285,0.00080931006,0.0049242172,0.0025177829,0.017311106,0.025741536,0.0031153099,0.014077719,0.028141761,0.017479498
ENSG00000142657,0.19387741,0.10138073,0.08497209,0.0399481,0.08155297,0.10597933,0.049156323,0.04689899,0.08584923,0.75362474
ENSG00000175279,0.01987466,0.0015167556,0.00793667,0.006942765,0.0021531999,0.074010216,0.0052353027,0.013140898,0.027581714,0.008695281
ENSG00000160049,0.22170657,0.046017125,0.032780472,0.05372274,0.269941,0.04603534,0.054017674,0.07308693,0.05412766,0.10026003
ENSG00000203469,0.4259431,0.048707835,0.5803496,0.22351946,0.20380494,0.7374146,0.3733574,0.67582643,0.3543687,0.60133225
ENSG00000142655,0.03237618,0.017908303,0.0135775255,0.023802347,0.049039207,0.062463596,0.020097641,0.057141576,0.032208662,0.010816845
ENSG00000130940,0.037730884,0.0055809617,0.030274687,0.028829198,0.006217316,0.041656744,0.05525698,0.023882415,0.030598294,0.0114897825
ENSG00000272078,0.47134328,0.07784816,0.896266,0.54272956,0.17085728,0.441678,0.6440704,0.3689532,0.4682849,0.42330265
ENSG00000175262,0.084751785,0.0018873368,0.10620637,0.013724824,0.0061912523,0.48756507,0.015382776,0.44034222,0.25698525,0.28658402
ENSG00000120948,0.32230103,0.11875043,0.05789041,0.0623754,0.25465813,0.057082012,0.09266386,0.14663018,0.057146095,0.19801648
ENSG00000277726,0.38943875,0.034776438,0.5802626,0.15011737,0.13858013,0.5274583,0.2862598,0.83221537,0.3402902,0.3783646
ENSG00000271895,0.014905085,0.0015335921,0.019246517,0.0027025475,0.008400647,0.091363505,0.008726406,0.042843312,0.03154057,0.022706535
ENSG00000116649,0.21018964,0.027312761,0.01615408,0.03245958,0.045042414,0.082436174,0.039469745,0.032475244,0.06125769,0.09693809
ENSG00000171824,0.29313424,0.0986379,0.08793362,0.0751403,0.21875487,0.15759401,0.10061294,0.14276217,0.026276376,0.12555116
ENSG00000226849,0.38824394,0.042311653,0.4716693,0.21303298,0.15835437,0.7538136,0.35695252,0.76711917,0.5942179,0.70815885
ENSG00000230337,0.2239529,0.0071311397,0.39228696,0.060153015,0.034600664,0.8183676,0.19669193,0.64837563,0.7980089,0.32640427
ENSG00000198793,0.17886129,0.071076095,0.08821131,0.048524532,0.12704346,0.08481092,0.07910115,0.16917276,0.03978078,0.05668781
ENSG00000171819,0.3119363,0.016751772,0.47344553,0.15781455,0.05118921,0.740862,0.2386893,0.39359376,0.74335754,0.54330754
ENSG00000120942,0.06826829,0.0241891,0.036424372,0.054362923,0.085768454,0.06239394,0.03404164,0.01900074,0.024800366,0.020591944
ENSG00000204624,0.17694941,0.0050215176,0.42037117,0.093186975,0.031084051,0.58833313,0.18402444,0.7208179,0.4333255,0.28724697
ENSG00000284708,0.2414791,0.0092022335,0.29857564,0.058715444,0.01881104,0.6253909,0.12840126,0.6489848,0.3993722,0.30677444
ENSG00000116661,0.007850373,0.0050044646,0.026061581,0.008109368,0.044209845,0.04461855,0.019971915,0.039162222,0.0339121,0.011128511
ENSG00000132879,0.056115523,0.013768252,0.0374797,0.04865868,0.07902357,0.07354483,0.047534116,0.027682433,0.045696784,0.015250985
